GEOID,county,v001_rawvalue,v002_rawvalue,v003_rawvalue,v004_rawvalue,v005_rawvalue,v009_rawvalue,v011_rawvalue,v014_rawvalue,v015_rawvalue,v021_rawvalue,v023_rawvalue,v024_rawvalue,v036_rawvalue,v037_rawvalue,v039_rawvalue,v042_rawvalue,v044_rawvalue,v045_rawvalue,v049_rawvalue,v050_rawvalue,v051_rawvalue,v052_rawvalue,v053_rawvalue,v054_rawvalue,v055_rawvalue,v056_rawvalue,v057_rawvalue,v058_rawvalue,v059_rawvalue,v060_rawvalue,v061_rawvalue,v062_rawvalue,v063_rawvalue,v065_rawvalue,v067_rawvalue,v069_rawvalue,v070_rawvalue,v080_rawvalue,v081_rawvalue,v082_rawvalue,v083_rawvalue,v085_rawvalue,v088_rawvalue,v122_rawvalue,v124_rawvalue,v125_rawvalue,v126_rawvalue,v127_rawvalue,v128_rawvalue,v129_rawvalue,v131_rawvalue,v132_rawvalue,v133_rawvalue,v134_rawvalue,v135_rawvalue,v136_rawvalue,v137_rawvalue,v138_rawvalue,v139_rawvalue,v140_rawvalue,v141_rawvalue,v143_rawvalue,v144_rawvalue,v145_rawvalue,v147_rawvalue,v148_rawvalue,v149_rawvalue,v151_rawvalue,v153_rawvalue,v154_rawvalue,v155_rawvalue,v156_rawvalue,v158_rawvalue,v159_rawvalue,v160_rawvalue,v161_rawvalue,v166_rawvalue,v167_rawvalue,v168_rawvalue,v169_rawvalue,v170_rawvalue,v171_rawvalue,v172_rawvalue,v177_rawvalue,v178_rawvalue,n_schools,avg_tt_SERV10,avg_tt_SERV22,avg_tt_SERV50,avg_tt_SERV52,avg_tt_SERV56,avg_tt_SERV57,avg_tt_SERV58,avg_tt_SERV59,avg_tt_SERV80
51830,Williamsburg city,8956.218854675,15,9.33686222614321,12.8287363694676,1730,14.7,35.1,2.53512200274638,NA,92,4.08851113716295,20.2,3.6582381291,6.4453125,NA,5.1705241785,5.17243014518129,404.1,17.704017914,58,15909,11.044063108932,17.6126720724118,14.3189389653655,0.4274310138915,8.31604752027154,53.6174492425671,0.11669367909238,1.41384778012685,10.3,231.2,44.0002514300081,67543,42.9274292742927,61.9025450031036,75.3939828080229,21.8,0.12571500408573,5.89603369162109,35.0821744627054,5.64150949801228,8.44626168224299,NA,5.20889853499728,NA,7.2,67.791815953234,416.008862670246,NA,NA,6.28575020428688,99.6110210696921,8.2,33.3333333333333,64.7035520929618,15.4960981047937,23.9,26.1991572604414,9.7,14.1116100064143,19.8873371809413,35.5,10.6,16.4,76.5833965628673,NA,NA,0.88819850634499,50.880786562884,16.0486067462811,57,97.7910102419132,NA,3.108394661,NA,21.3392362043423,89.0823433019254,0.0043879833221,93.2752341311134,-2377.232,NA,30.4783619323986,17.897091722595,54.1666666666666,64.2,3,11.371432726350625,5.75193302411059,57.832602807200665,20.069178591661384,32.961193467859836,NA,167.62135618585546,NA,56.66180278855418
51199,York County,4979.7559414463,11.5,6.34434582904715,115.631389691884,1814,11.3,33.7,6.25908832269077,3.33477840397505,96,2.76833268137092,5.9,2.9468050733,7.59204207637777,7.29482775869543,4.5604960837,3.43811805289382,276.4,17.210724154,55,71341,22.7933446405292,18.0148862505431,13.8615943146297,0.51022553650775,7.67861398074038,50.1506847394906,7.0640302662574,1.38909768784389,8.3,126.2,109.334043537376,111346,26.1970375473648,77.932607043324,83.1178363728756,17.1,0.23408699065053,6.46612747228101,19.6461256863941,2.84430785386023,5.4392088423502,53.2653032617989,3.32647462277091,0,7.4,67.8880307256696,246.730334766877,37.7000195481582,NA,67.2824883306934,89.9350417588693,9.3,44.1176470588235,56.6895072082888,11.9929453262786,31,17.2749695288731,5.9,7.89677783261651,30.582793268992,34,8.5,14,81.1079275883517,8.72146264742906,6.58465991316932,0.74189843515485,72.1500888785841,10.0665362035225,54,68.1670415747212,15.064935064935,3.600093513,NA,12.3000327348528,92.3989489141355,0.02196784537462,95.3323635443678,3302.409,NA,19.0487309827025,8.48131460376358,76.8899900891972,73.3,19,10.205765227701264,26.24161701628265,45.03064787689124,17.196251760813002,45.198561556281696,NA,179.85881464909218,NA,43.859855115492394
51187,Warren County,9753.67562607059,15.7,10.7113919948144,58.6438607208307,3413,17,36.3,16.8592313133694,NA,92,2.86800442712092,11.6,3.8436298117,6.91202872531418,12.8862289166976,5.2927730992,4.35568181818181,229.7,17.114673113,35,41440,21.5275096525096,17.6689189189189,4.65250965250965,0.62741312741312,7.50723938223938,49.4570463320463,60.2401355366219,0.70526616018876,9.4,176.8,106.177606177606,79949,48.5625485625485,72.5888588651008,57.7869659381768,23.1,0.11100386100386,1.43339768339768,20.7962106687718,5.40541889235063,9.37973667786132,36.1969111969112,5.82544913362389,1,7.2,82.9971042471042,457.076393493712,69.1031941031941,7.58725341426403,53.0888030888031,82.2083630024308,8.4,23.8095238095238,98.9409834435439,13.2513661202185,58.3,48.5341054917574,8.9,10.7513744654856,47.2641614751241,35.9,11.2,17.1,75.0655790893542,13.4241535325411,NA,0.73614499825723,74.1713160485723,12.237714904562,36,56.7759568259475,33.3333333333333,2.933088705,NA,20.1907839212581,90.259271414506,0.01403353494384,88.8415613434816,1753.65,NA,20.287933557643,4.50819672131147,69.8843357567746,70.5,9,8.87680913319549,66.62782444214713,91.95672954544374,91.11923770641816,128.9086504218592,NA,98.93265843381437,132.30897805318733,NA
51640,Galax city,19045.693714809,21,15.8353127474267,NA,2514,21.2,39.6,44.7966919365954,NA,82.5,3.12061711079943,31.8,4.556082166,13.2047477744807,NA,5.8472619082,5.64461463255662,345.3,15.242724119,45,6730,25.9435364041604,17.3105497771173,5.39375928677563,0.57949479940564,17.890044576523,52.555720653789,9.85119047619047,3.01911032599967,12,145.8,921.248142644873,44706,63.1462333825701,76.0729613733905,53.1060606060606,28.4,0.26745913818722,0.84695393759286,29.62308598351,3.78324335441252,12.87147102526,118.870728083209,5.77380952380952,NA,6.9,73.4026745913818,969.253849740127,NA,NA,401.188707280832,98.422619047619,7.7,100,117.461593150134,15.8699808795411,23.5,NA,12.8,16.5165165165165,1.96798965153774,36.8,13.8,19.2,66.187230641536,NA,NA,0.65861384627127,70.550038197097,12.2861586314152,27,59.0177198169405,30,3.012027755,NA,38.4355994160825,83.231474407945,0.01080587761293,80.2346570397112,-9298.668,NA,32.0941260680893,4.78468899521531,60.6666666666666,62.9,4,6.0435296206686004,67.56599428859575,204.22436943612666,164.91919196440287,252.27526357656797,208.8500884492708,326.4783928120897,365.6043384287097,98.33460123049798
51087,Henrico County,7261.85531727411,13.8,8.98095983049001,104.930535985177,2092,13.2,36.5,9.81409553176979,6.54543027101115,87,2.82852758258622,11.6,3.3592903865,8.41241634844417,7.32568023709195,5.1036809172,4.24902866743673,563.9,17.041251458,50,333962,21.7671471604553,17.1100304825099,29.9905378456231,0.38207939825489,6.42079038932573,52.2870865547577,3.69420046712063,2.1493923342592,10.4,363,390.463585677412,82187,46.1520278921346,71.8842363115706,76.0569753911132,22.1,0.07785316892341,10.07659554081,28.0012961062807,4.72609292320692,7.56391903164352,85.3390505506614,3.84458936374014,0,7,50.6970852971296,348.92468155366,53.8506275905998,7.40048589048776,130.553775579257,95.1176623632954,9,23.2876712328767,71.3467130067897,14.4286426189289,24.6,28.8537256371363,6.6,12.2618826336964,55.5575118904512,35.5,9.5,15.3,77.9224829481019,13.1698420283489,5.07241712262632,0.80693513951262,64.5591898220651,12.8213884588531,57,131.243389814627,17.0467836257309,3.236154467,NA,11.6971903133896,90.5588616940355,0.20646892317655,92.8827319587629,-2571.106,NA,27.3254894326353,8.25281803542673,78.1125884258075,73.7,84,11.237516355533751,41.70308407478631,102.16766935194659,63.22157981505817,17.271231231468757,NA,129.69567418383738,176.9260954729494,98.730778520945
51175,Southampton County,9548.78782079659,16.8,9.08703071672355,22.2148172831278,3923,17,37.7,10.7079119571683,NA,90,2.81404772624943,20.1,3.7106604776,10.7579462102689,20.8375075135243,5.3082447452,4.14837979905516,422.1,16.089391467,47,17932,18.44746821325,22.1726522418023,33.0470666964086,0.6413116216819,2.58197635511934,47.9143430738344,98.2440542342743,0.0991484894436,10.9,261.1,NA,61246,47.1923076923077,80.2398265084832,56.4289573203673,23.1,0.08922596475574,0.55208565692616,37.9350014380212,5.09804810374325,8.02786794394743,11.1532455944679,5.11033681765389,0,7.5,61.4989962078965,431.439955269458,89.7728057454595,NA,33.4597367834039,19.8877528339631,9,30,72.2274261079574,10.5740181268882,48.4,NA,6.3,11.6627790736421,17.6138947488094,36.5,11.1,16.7,76.1861282949576,16.9283029940525,NA,0.73453921721503,76.962432392925,11.5540330115228,46,6.17028969805746,NA,3.194122002,NA,12.120247117155,81.8301417921356,0.01698098187015,86.7784829253551,198.6016,NA,29.5382555595467,6.150061500615,68.4096469765816,57.6,7,15.325926715333619,53.848914533476425,61.660656460979496,86.37788237303961,84.51328624259969,NA,200.80371221895385,NA,60.489890059163685
51720,Norton city,16104.4938891297,20.2,9.16590284142988,81.8330605564648,3966,21.6,40.1,40.7303370786516,NA,97.5,3.75469336670838,29,4.5078466651,11.5241635687732,NA,5.9758227167,7.94064748201439,327.3,15.776691234,43,3609,22.4993072873372,18.2044887780548,6.26212247159878,0.36021058464948,4.10085896370185,52.0642837351066,9.89964740981828,0.05636978579481,11.8,NA,498.753117206982,41298,91.5254237288135,69.849931787176,69.4169416941694,28,0.08312551953449,2.10584649487392,38.301282051282,18.0655663974916,7.56105720976915,138.542532557495,3.2520325203252,NA,7,84.788029925187,795.058813170204,NA,NA,720.421169298974,92.6227285055601,5,0,112.612612612612,16.5333333333333,19.7,NA,18.7,0,NA,36.9,13.7,19.5,69.0316139711766,NA,NA,0.59580445461274,53.0150753768844,15.9061277705345,47,58.0826798585524,50,3.019122274,NA,NA,71.4824120603015,0.00294948865767,90.1639344262295,-6590.695,NA,36.2535716015303,27.3972602739726,48.0059970014992,60.4,2,4.294388066811766,54.72392395811397,141.74209088631437,249.63560747737353,336.9917431970691,207.94026391404543,411.19488915605785,264.7526743197685,72.49234784232006
51135,Nottoway County,10188.5544634336,21.7,11.4516760140863,38.4763370527125,3180,21.4,39.6,23.7757274662881,NA,82.5,3.06418219461697,24.2,4.3309674313,10.2888086642599,32.3750323750323,5.5569380519,4.67236776238945,711.8,15.270039594,43,15559,19.6413651262934,18.4266341024487,37.8687576322385,0.7262677549971,5.0710199884311304,46.8603380679992,100,0.3769520732364,13.2,606.8,115.688668937592,50756,97.3121228743829,79.2731013200754,39.2309506959188,28.9,0.10926152066328,0.56558904813934,30.5355976485956,21.768832927331,9.79739370303433,44.9900379201748,5.45394080478882,1,7.7,54.470081624783,517.952352811006,108.527131782945,NA,70.6986310174175,47.7048970719857,6.6,34.7826086956521,96.3040083289953,10.5026929982046,40.5,23.9203235767407,9.4,14.7492625368731,25.4221626894954,40.9,13.1,17.9,73.6978468107456,NA,NA,0.99298884493836,71.3019390581717,12.8809660724554,49,18.8042040572916,29.2307692307692,3.146412236,NA,13.0791292568252,70.8402585410895,0.01063079882774,83.7507799269097,-6769.832,NA,24.5823153912837,6.66666666666666,58.7142264620489,58.4,7,31.10882841596754,45.62534264501402,141.854081467831,116.08339190561925,71.70877602645555,328.51501349205904,187.73980310304552,497.0499991519065,149.99540831475903
51790,Staunton city,8179.78106722737,15.3,9.20429533782431,46.7635711780523,1882,16.7,35.8,22.8789323164918,NA,87.0614035087719,2.73752012882447,16.9,3.6674895885,8.93066980023501,10.9187872100774,5.2316300246,4.73128050474187,385.8,16.931138785,50,25904,19.2441321803582,21.3712168004941,11.1063928350833,0.49799258801729,4.38928350833848,54.0457072266831,2.14368932038834,0.9550701768956,9.7,276.4,737.33786287832,61917,58.1386861313868,80.5594753880634,66.5433012583271,22.3,0.04632489190858,1.47467572575664,27.0593167050932,0.82249921350205,7.93850806451613,81.0685608400247,4.18558736426456,NA,6.9,79.6209079678814,452.835490600566,50.9495136637332,NA,169.857936998147,98.6796116504854,8.5,100,83.8437153146535,14.5206766917293,27.4,13.1955715661823,10.7,21.4333034566073,30.6498277095117,34.6,10.9,17.1,75.3453154879946,13.5746967652296,NA,0.81422195670508,59.4812002892263,13.8334416488719,57,57.2730073833863,51,3.181645315,NA,15.1122866083932,80.8839479392624,0.02565455057038,92.5913820341014,2551.431,NA,29.218146874041,9.15032679738562,66.5914915427985,70.4,11,16.62871380874339,9.883683345476735,166.31351098532292,12.304324294329444,103.01025252887793,348.3352681658761,173.28943987369348,402.93381341615066,194.94998446109423
51670,Hopewell city,17560.0078304741,24.1,10.6421194431971,30.2506482281763,4225,22.5,45.6,37.3149885345007,17.6796696427443,80,4.41222164681512,26.1,4.708145176,14.7296722009365,15.1540025509237,5.6847788936,5.09462822772996,911.8,14.252724885,38,22962,25.1763783642539,15.9393781029527,43.7636094416862,0.77083877711,9.08892953575472,53.0877101297796,0.03473277471454,0.79450390241622,14.7,473.4,156.780768225764,53098,99.0674846625767,81.4017601526879,52.190089633012,33.1,0.22646110965943,1.48941729814476,42.0074982958418,14.4419068527164,8.53716021578589,56.6152774148593,3.70801463252411,NA,8.1,41.673199198676,829.79528177171,82.6511335012594,9.18580375782881,65.3253200940684,90.0490600442843,6.3,20,157.159128031714,22.542735042735,38.1,73.481864675798,14.4,11.2359550561797,17.2252332314072,44,14.6,19.5,68.5108206631783,30.902075736573,NA,0.8420169166376,53.5622593068036,19.1052397868561,42,114.097103590029,36.8,2.832209799,NA,30.2828654129363,85.7723577235772,0.01851243936588,86.8652538984406,-16298.38,NA,30.5472899167576,6.72782874617737,58.8508557457212,60.7,7,6.276504838087555,18.406959023604408,96.797809303203735,65.76169028643878,36.96400816807801,NA,148.93491339046378,NA,95.62704179317568
